name,city,state,country
"TDA.","Lijnden","","Netherlands"
"TEAM AVIATION INDIA PVT. LTD.","New Delhi, Delhi","","India"
"Team JAS, Inc.","Jacksonville","FL","UNITED STATES"
"TekAir, LLC","Delray Beach","FL","United States"
"TEMCO Ltd.","East Sussex","","UNITED KINGDOM"
"Thales Emarat Technologies Ltd","Abu Dhabi","Ab","United Arab Emirates"
"THAR AVIATION GULF FZC","SHARJAH","SH","UNITED ARAB EMIRATES"
"The Giles Group, Inc.","Silver Spring","MD","UNITED STATES"
"TIC Aerospace, Inc.","Miami","FL","UNITED STATES"
"TIER ONE AVIATION LLC","JACKSONVILLE","FL","United States"
"Tiger Enterprises & Trading, Inc.","Pelzer","SC","UNITED STATES"
"Time Way Electronics Limited","Kowloon","","Hong Kong"
"TITAN AEROSPACE","Istanbul","","Turkey"
"TK Aviation, Inc.","Grapevine","TX","UNITED STATES"
"TLC Aerospace Services Corp","IRVING","TX","United States"
"Topcast Aviation Supplies Co., Ltd.","Shatin","","HONG KONG"
"Torque Aero LLC","Chicago","IL","United States"
"Total Aircraft Support, Inc.","Miami","FL","UNITED STATES"
"TouchPoint Aviation Services, LLC","Miami","FL","UNITED STATES"
"TP Aerospace","Copenhagen","","DENMARK"
"Trace Aerosolutions FZC","Ras al Khaimah","","UNITED ARAB EMIRATES"
"Trade of Parts in Aviation Inc.","Miami","FL","United States"
"Trade-Air, Inc.","Miami","FL","UNITED STATES"
"TRADENA CORP","Diamond Bar","CA","United States"
"Tradewind International, LLC","Janesville","WI","UNITED STATES"
"Transcend Aero Services","228208","","Singapore"
"Transworld Aviation FZE","Dubai","","UNITED ARAB EMIRATES"
"Trident Aerospace (HK) Limited","Hong Kong","","PEOPLE'S REPUBLIC OF CHINA"
"Triman Industries, Inc.","Morrison","NJ","UNITED STATES"
"TriStar Aircraft Spares","Fort Worth","TX","UNITED STATES"
"Tristar Solution Technology, Inc.","Rancho Cucamongo","CA","UNITED STATES"
"TrueAero LLC","Sebastian","FL","UNITED STATES"
"Trust & Jets","MEXIMIEUX","","France"
"TSG Aero LLC","Doral","FL","United States"
"TSI Aviation, Inc.","Boca Raton","FL","UNITED STATES"
"Turbine Engine Consultants, Inc (TECI)","Joplin","MO","UNITED STATES"
"Turbine Support Services, Inc.","Windsor","CT","UNITED STATES"
"Turbo Resources International, Inc.","Chandler","AZ","UNITED STATES"
"TurboJet Partners, Inc.","St. Charles","IL","UNITED STATES"
"U.C.A Aviation Spares Trading FZE","Umm Al Quwain, U A E.","Se","United Arab Emirates"
"UK Aerospace Ltd","OXFORD","","United Kingdom"
"Unical Aviation, Inc.","Glendale","AZ","UNITED STATES"
"United Aero Solutions, Inc","Fort Pierce","FL","UNITED STATES"
"United Aerospace Corporation","Miramar","FL","UNITED STATES"
"United Airlines","San Francisco","CA","UNITED STATES"
"Universal Aerospace Systems LLC","DEERFIELD BEACH","FL","United States"
"Universal Asset Management, Inc.","Memphis","TN","UNITED STATES"
"Universal Turbine Parts","Prattville","AL","UNITED STATES"
"Unlimited Aerospace Corp","MIAMI","FL","United States"
"Uno-Aviation LLC","Casablanca","","Morocco"
"UP Aviation","Asheville","NC","UNITED STATES"
"Utmel Electronic Limited","Shenzhen","Gu","China"
"UTSAIR LTD","ISTANBUL","Se","Turkey"
"UZ Aviation LLC","San Diego","CA","United States"
"V-LINK AVIATION MANAGEMENT FZCO","DUBAI","","United Arab Emirates"
"V-Mark Aviation Company Limited","Sheung Wan","","HONG KONG"
"Vallair Asset Solutions","Senningerberg","","LUXEMBOURG"
"VAMOS AEROSPACE LLC","SHERIDAN","WY","United States"
"Vantage IC, LLC","Holtsville","NY","UNITED STATES"
"VAS Aero Services, LLC","Boca Raton","FL","UNITED STATES"
"VC DISPLAYS, INC.","BROOKSVILLE","FL","United States"
"VEGA AVIATION LTD.","ISTANBUL","","Turkey"
"VGAS PARTS AND SUPPLY","DEN HAAG","","Netherlands"
"Victor Aerosystems","Saint Paul","MN","UNITED STATES"
"Vision Aero, Inc.","Weston","FL","UNITED STATES"
"VISION AIR INTERNATIONAL","TEMPE","AZ","UNITED STATES"
"Viva Aerospace","Beirut","","Lebanon"
"VIVAAN AVIATION & DEFENCE SERVICES UK LTD","London","","United Kingdom"
"Viya Gmbh","Ransbach-Baumbach","","Germany"
"VN Aero OÜ","Tallinn","Ha","Estonia"
"Vogter","Dragør, Copenhagen","","Denmark"
"VRN AERO LIMITED","London","","United Kingdom"
"VSE Aviation, Inc.","Doral","FL","UNITED STATES"
"Vx Consultants, Inc.","Mt Pleasant","WI","UNITED STATES"
"W.S. Wilson Corporation","Port Washington","NY","UNITED STATES"
"WBParts, Inc.","Palm Bay","FL","UNITED STATES"
"Welkin Aero Ltd","Beijing","","CHINA"
"Well Known Aviation Technology (Chongqing) Co.Ltd","Chongqing","Se","China"
"Wencor, LLC","Peachtree City","GA","UNITED STATES"
"Werner Aero LLC","Mahwah","NJ","UNITED STATES"
"West Coast Aviation (Shannon) Ltd.","Shannon Airport, Co. Clare","Se","Ireland"
"Western Aero Services, Inc.","Denver","CO","UNITED STATES"
"Western Air International","Gilbert","AZ","UNITED STATES"
"Willis Aeronautical Services, Inc.","Coconut Creek","FL","UNITED STATES"
"WIN SOURCE ELECTRONICS","Shenzhen","","China"
"WINDER d.o.o.","Brezje (Sveta Nedelja)","","Croatia"
"Wings Air Support LLC","Greensboro","NC","United States"
"Wingsteck, Inc.","Hicksville","NY","UNITED STATES"
"Woklin","Eybens","Se","France"
"Worthington Aviation LLC, A Stratus Aero Partners Company","Eagan","MN","UNITED STATES"
"Wowsa Aero","Ipswich, Suffolk","","United Kingdom"
"Wright Aero Components FZE","Umm Al Quwain","","United Arab Emirates"
"WS Aero Services Pte Ltd","Singapore","Se","Singapore"
"WWD USA Group, LLC","Davie","FL","UNITED STATES"
"WWTAI AirOpCo 1 Bermuda Ltd","New York","NY","United States"
"Wyatt Aerospace LLC","Chandler","Az","UNITED STATES"
"XAero Co., Ltd","Xiamen, China (Fujian)","","People's Republic of China"
"XIAMEN HANGYU AVIATION TECHNOLOGY CO., LTD.","Jimei, Xiamen","_","People's Republic of China"
"XINSHOP ELECTRONICS CO.,LTD.","Shenzhen","","China"
"XS Aviation Limited","Cambridgeshire","_","UNITED KINGDOM"
"Yas International Dist. Inc.","Miami","FL","UNITED STATES"
"YES TECHNIK FZC","SHARJAH","SH","United Arab Emirates"
"YGAero (Yellow Green Aerospace Inc.)","Margate","FL","UNITED STATES"
"YIC INTERNATIONAL CO., LIMITED","HONG KONG","","China"
"YOG-KSHEM Pte Ltd","Singapore","","SINGAPORE"
"Yoracraft GmbH","Stotzing","","AUSTRIA"
"Zenaircraft Holdings LLC","MIAMI","FL","United States"
"Zenith Aviation, Inc.","Fredericksburg","VA","UNITED STATES"
"Zina Flight Support LLC","Austin","TX","UNITED STATES"
"ZY Aviation Co., LTD","Yunnan Province","_","China"
